"A block identifier with the same properties already exists in the selected store.","Seçilen mağazada aynı özelliklere sahip bir blok zaten var."
"A directory with the same name already exists. Please try another folder name.","Aynı isme sahip bir klasör zaten var. Lütfen başka bir klasör adı kullanınız."
"A page URL key for specified store already exists.","Bu mağaza için aynı şekilde bir URL anahtarı zaten var."
"Action","İşlem"
"Add New Block","Yeni Blok Ekle"
"Add New Page","Yeni Sayfa Ekle"
"All Countries","Tüm ülkeler"
"An error occurred while saving the page.","Sayfa kaydedilirken bir hata meydana geldi."
"Anchor Custom Text","Bağlantı Özel Yazı"
"Anchor Custom Title","Bağlantı Özel Başlığı"
"Are you sure you want to delete current folder?","Mevcut klasörü silmek istediğinizden emin misiniz?"
"Are you sure you want to delete the selected file?","Seçilen bu dosyası silmek istediğinizden emin misiniz?"
"Block","Blok"
"Block Information","Blok Bilgisi"
"Block Title","Blok Başlığı"
"CMS","CMS"
"CMS Content Wrapper","CMS İçerik Çerçevesi"
"CMS Home Page","CMS Ana Sayfa"
"CMS No Cookies Page","CMS 'Çerez özelliği açık değil' sayfası"
"CMS No Route Page","CMS Sayfa Bulunamadı Sayfası"
"CMS No-Route Page","CMS 'Yönlendirme yapılamıyor' sayfası"
"CMS Page","CMS Sayfa"
"CMS Page Link","CMS Sayfa Bağlantısı"
"CMS Page Link Block Template","CMS Sayfa Bağlantısı Blok Teması"
"CMS Page Link Inline Template","CMS Sayfa Bağlantısı İç Teması"
"CMS Pages (All)","CMS Sayfaları (Hepsi)"
"CMS Static Block","CMS Statik Blok"
"CMS Static Block Default Template","CMS Statik Blok Varsayılan Tema"
"Cannot create new directory.","Yeni klasör oluşturulamıyor."
"Cannot delete directory %s.","%s klasörü silinemiyor."
"Cannot delete root directory %s.","Ana klasör %s silinemiyor."
"Cannot upload file.","Dosya karşıya yüklenemiyor."
"Collapse All","Hepsini Daralt"
"Content","İçerik"
"Content Heading","İçerik Başlığı"
"Content Management","İçerik Yönetimi"
"Contents of a Static Block","Statik Bloğun İçeriği"
"Create Folder...","Klasör oluştur..."
"Custom Design","Özel Tasarım"
"Custom Design From","Özel Tasarım Başlangıcı"
"Custom Design To","Özel Tasarım Bitişi"
"Custom Layout","Özel Şablon"
"Custom Layout Update XML","Özel Şablon Güncelleme XML"
"Custom Theme","Özel Tema"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Date Created","Tarihinde Oluşturuldu"
"Delete Block","Bloğu Sil"
"Delete File","Dosya Sil"
"Delete Folder","Klasör Sil"
"Delete Page","Sayfayı Sil"
"Description","Açıklama"
"Design","Tasarım"
"Disabled","Kapalı"
"Disabled Completely","Tamamen Devre Dışı"
"Disabled by Default","Varsayılan olarak Devre Dışı"
"Edit Block","Bloğu Düzenle"
"Edit Block '%s'","Bloğu Düzenle '%s'"
"Edit Page","Sayfayı Düzenle"
"Edit Page '%s'","Sayfayı Düzenle '%s'"
"Enable WYSIWYG Editor","WYSIWYG Editörünü Aç"
"Enabled","Aktif edildi"
"Enabled by Default","Varsayılan olarak Açık"
"Expand All","Hepsini Genişlet"
"General Information","Genel Bilgi"
"Go to Home Page","Ana Sayfaya Git"
"Home","Ana Sayfa"
"ID","No"
"Identifier","Belirteç"
"If empty, the Page Title will be used","Eğer boş bırakırsanız, Sayfa Başlığı kullanılacaktır"
"Images (%s)","Resimler (%s)"
"Insert File","Dosya Ekle"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Hatalı klasör adı. Lütfen, sadece harf, rakam, alt çizgi (_) ve tire (-) kullanınız."
"Keywords","Anahtar Kelimeler"
"Last Modified","Tarihinde Değiştirildi"
"Layout","Şablon"
"Layout Update XML","Şablon Güncelleme XML"
"Link to a CMS Page","Bir CMS sayfasına bağlantı"
"Manage Pages","Sayfaları Yönet"
"Media Gallery","Medya Galerisi"
"Media Storage","Medya Deposu"
"Meta Data","Meta Verisi"
"Meta Description","Meta Açıklaması"
"Meta Keywords","Meta Anahtar Kelimeleri"
"New Block","Yeni Blok"
"New Folder Name:","Yeni Klasör Adı:"
"New Page","Yeni Sayfa"
"No files found","Hiç dosya yok"
"Page Information","Sayfa Bilgisi"
"Page Layout","Sayfa Yapısı"
"Page Status","Sayfa Durumu"
"Page Title","Sayfa Başlığı"
"Pages","Sayfalar"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"Redirect to CMS-page if Cookies are Disabled","Eğer web çerezleri kapalıysa CMS sayfasına yönlendir"
"Relative to Website Base URL","Websitesi ana URL ile ilişkili"
"Save Block","Bloğu Kaydet"
"Save Page","Sayfayı Kaydet"
"Save Process","İşlemi Kaydet"
"Select Block...","Blok Seçiniz..."
"Select Page...","Sayfa Seçiniz..."
"Show Breadcrumbs for CMS Pages","CMS Sayfaları için sayfa yollarını (breadcrumb) göster"
"Show Notice if JavaScript is Disabled","Eğer Javascript devre dışı ise mesaj göster"
"Static Blocks","Statik Bloklar"
"Status","Durum"
"Storage Root","Depolama Kök Dizini"
"Store View","Mağaza Görünümü"
"Template","Şablon"
"The block has been deleted.","Blok silindi."
"The block has been saved.","Blok kaydedildi."
"The directory %s is not writable by server.","%s klasörüne yazma hakkı yok."
"The page URL key cannot consist only of numbers.","URL anahtarı sadece numaradan oluşmayabilir."
"The page URL key contains capital letters or disallowed symbols.","Sayfa adresi anahtar kelimesi büyük harfler ve izin verilmeyen semboller içeriyor."
"The page has been deleted.","Sayfa silindi."
"The page has been saved.","Sayfa kaydedildi."
"The static block content cannot contain  directive with its self.","Statik blok içeriğinde kendisi ile ilgili yönerge içeremez."
"This block no longer exists.","Blok bulunamıyor."
"This page no longer exists.","Sayfa bulunamıyor."
"Title","Başlık"
"URL Key","Adres Anahtar Kelimesi"
"Unable to find a block to delete.","Silmek için herhangi bir blok bulunamadı."
"Unable to find a page to delete.","Silmek için herhangi bir sayfa bulunamadı."
"WYSIWYG Options","WYSIWYG Seçenekleri"
"px.","px."
