"1.5.0.0 & later","1.5.0.0 & sonra"
"Action","İşlem"
"Add Author","Yazar Ekle"
"Add Contents Path","İçerik Dizini Ekle"
"Add PHP Extension dependency","Php Eklentilerine bağlı eklentileri de Ekle"
"Add Package dependency","Paket Bağımlılığı Ekle"
"Add files","Dosya ekle"
"Authors","Yazarlar"
"Channel","Kanal"
"Contents","İçerik"
"Create Extension Package","Eklenti Paketi Oluştur"
"Dependencies","Bağımlılıklar"
"Description","Açıklama"
"Edit Extension","Eklentiyi Düzelt"
"Email","E-posta"
"Extension","Eklenti"
"Extensions","Eklentiler."
"Failed to create the package.","Paket oluşturulamadı."
"Failed to load the package data.","Paket verisi okunamadı."
"Failed to save the package.","Paket kaydedilemedi."
"Files","Dosyalar"
"Folder","Klasör"
"Ignore","Gözardı Et"
"Include","Dahil Et"
"License","Lisans"
"License URI","Lisans URI"
"Load Local Package","Yerel Paket Yükle"
"Load local Package","Yerel Paket Yükle"
"Magento Connect","Magento Eklenti"
"Magento Connect Manager","Magento Eklenti Yöneticisi"
"Max","En Fazla"
"Maximum","En Fazla"
"Min","En Az"
"Minimum","En Az"
"Name","Adı"
"New Extension","Yeni Eklenti"
"PHP Version","PHP Version"
"Package","Paket"
"Package Extensions","Paket Eklentileri"
"Package File Name","Paket Dosyası Adı"
"Package Info","Paket Bilgisi"
"Packages","Paketler"
"Path","Yol"
"Pre-1.5.0.0","1.5.0.0 öncesi"
"Release Info","Versiyon Bilgisi"
"Remove","Sil"
"Save As...","Farklı Kaydet…"
"Save Data and Create Package","Veriyi Kaydet ve Paketi Oluştur"
"Save package with custom package file name","Paketi farklı paket dosyası adıyla kaydet"
"Summary","Özet"
"Supported releases","Desteklenen Sürümler"
"System","Sistem"
"Target","Hedef"
"The package %s data has been loaded.","%s paket verisi yüklendi."
"The package data has been saved.","Paket verisi kaydedildi."
"There was a problem saving package data","Paket verisi kaydedilirken bir hata meydana geldi"
"Type","Tip"
"User","Kullanıcı"
