"Add","Ekle"
"Add New Row","Yeni Satır Ekle"
"Add links and samples to downloadable product","İndirilebilir ürün için bağlantı ve örnek ekle"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanümerik karakterler, nokta ve alt çizgi dosya adları için tavsiye edilen karakterlerdir. Bu kurala uygun olmayan karakterler \'_\' ile değiştirilecektir."
"An error occurred while getting the requested content.","İstenen içeriği almaya çalışırken bir hata meydana geldi."
"An error occurred while getting the requested content. Please contact the store owner.","İstenen içeriği almaya çalışırken bir hata meydana geldi. Lütfen site yönetimi ile irtibata geçiniz."
"An error occurred while saving the file(s).","Dosyalar kaydedilirken bir hata meydana geldi."
"Availability:","Durumu:"
"Back","Geri"
"Canceled","İptal Edildi"
"Cannot connect to remote host, error: %s.","Uzak sunucuya bağlanılamadı, oluşan hata: %s."
"Catalog Product View (Downloadable)","Katalog Ürün Görünümü (İndirilebilir)"
"Category API","Kategori API si"
"Customer My Account Downloadable Items","Müşteri Hesabım İndirilebilir Ürünler"
"Date","Tarih"
"Default Link Title","Varsayılan Link Başlığı"
"Default Maximum Number of Downloads","Varsayılan En Fazla İndirme Sayısı"
"Default Sample Title","Varsayılan Örnek Başlığı"
"Delete","Sil"
"Disable Guest Checkout if Cart Contains Downloadable Items","Eğer sepet indirilebilir ürün içeriyorsa, Misafir Alışverişi Kapat"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Downloadable Product","İndirilebilir Ürün"
"Downloadable Product Options","İndirilebilir Ürün Seçenekleri"
"Downloadable Product Section","İndirilebilir Ürün Bölümü"
"Edit","Düzenle"
"Edit item parameters","Ürün parametrelerini düzenle"
"Excl. Tax","Vergi Hariç"
"File","Dosya"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Go to <a href=""%s"">My Downloadable Products</a>","<a href=""%s"">İndirilebilir Ürünler</a> bölümüne git"
"Guest checkout will only work with shareable.","Misafir olarak alışveriş sadece paylaşılanlarda çalışır."
"In stock","stokta mevcut"
"Incl. Tax","Vergi Dahil"
"Invalid download URL host.","Geçersiz indirme linki sunucusu."
"Invalid download URL scheme.","Dosya indirme bağlantısında hatalı adres şekli."
"Invalid download link type.","Dosya indirme bağlantısında hatalı adres tipi."
"Invoiced","Faturalandı"
"Links can be purchased separately","Bağlantılar ayrı ayrı satın alınabilir"
"List","Liste"
"Max. Downloads","En fazla İndirme"
"Message:","Mesaj:"
"Move","Taşı"
"My Downloadable Products","İndirilebilir Ürünlerim"
"Open Links in New Window","Bağlantıları yeni pencerede aç"
"Order #","Sipariş #"
"Order Item Status to Enable Downloads","İndirmeye aktif etmek için Sipariş satırı durumu"
"Order id cannot be null","Sipariş no alanı boş olmamalıdır"
"Order item id cannot be null","Sipariş satır numarası boş olmamalıdır"
"Ordered","Sipariş Tarihi"
"Out of stock","Stok mevcut değil"
"Pending","Bekliyor"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Dosyayı indirmek veye ürün satın almak için lütfen giriş yapınız: <a href=""%s"">%s</a>."
"Please log in to download your product.","Ürünleri indirebilmek için lütfen giriş yapınız."
"Please set resource file and link type.","Lütfen kaynak dosya ve bağlantı tipini ayarlayınız."
"Please specify product link(s).","Lütfen ürün linklerini belirleyiniz."
"Price","Fiyat"
"Product downloadable links","Ürün indirme linkleri"
"Qty","Miktar"
"Refunded","İadesi Yapıldı"
"Remaining Downloads","Devam eden indirmeler"
"Remove","Sil"
"Remove Item","Ürünü Sil"
"Remove links and samples from downloadable product","İndirilebilir üründen bağlantıları ve örnekleri kaldır"
"Requested link does not exist.","İstenen bağlantı adresine ulaşılamadı."
"Retrieve links and samples list from downloadable product","İndirilebilir üründen bağlantı ve örnek listelerini geri al"
"Sample","Örnek"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"Shareable","Paylaşılabilir"
"Shipped","Gönderildi"
"Sorry, there was an error getting requested content. Please contact the store owner.","Üzgünüz, ulaşmaya çalıştığınız içeriğe ulaşılamıyor. Lütfen site yönetimi ile irtibata geçiniz."
"Sort Order","Sıralama"
"Start Download","İndirmeye Başla"
"Status","Durum"
"The file does not exist.","Dosya bulunamadı."
"The link has expired.","Bağlantının kullanım süresi doldu."
"The link is not available.","Bağlantı uygun değildir."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Seçilmiş ancak yüklenmemiş dosyalar var. Lütfen öncelikle bu dosyaları yükleyin veya listeden silin"
"Title","Başlık"
"To:","Kime:"
"U","U"
"Unlimited","Limitsiz"
"Use Content-Disposition","İçerik Kurallarını Kullan"
"Use Default Value","Varsayılan Değeri Kullan"
"View Order","Siparişi Göster"
"What's this?","Bu nedir?"
"You have not purchased any downloadable products yet.","Henüz hiçbir indirilebilir ürün satın almadınız."
"attachment","ekli dosya"
"download","indir"
"inline","inline"
"sample","Örnek"
