"%s Index process is working now. Please try run this process later.","%s İndeksleme işlemi sürüyor. Lütfen bu işlemi çalıştırmayı bir süre sonra tekrar deneyin."
"%s index was rebuilt.","%s indeksi yeniden oluşturuldu."
"'%s' Index Process Information","'%s' İndeks İşleme Bilgisi"
"Action","İşlem"
"Cannot initialize the indexer process.","İndek işleticisi başlatılamadı."
"Change Index Mode","İndeks Tipini Değiştir"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","<a href=""%s"">Buraya tıklayarak</a> Ön Bellek Yönetimi bölümüne gidip önbellek tiplerini tazeleyiniz."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","<a href=""%s"">Buraya tıklayarak</a> İndeks Yönetimi bölümüne gidip gereken indeksleri yenileyiniz."
"Delete","Sil"
"Description","Açıklama"
"Disable","İptal et"
"Enable","Aktif et"
"General","Genel"
"Index","İndeks"
"Index Description","İndeks Açıklaması"
"Index Management","İndeks Yönetimi"
"Index Mode","Indeks Tipi"
"Index Name","İndeks Adı"
"Index mode","Indeks Tipi"
"Indexer code is not defined.","İndeksleyici kodu belirlenmedi."
"Indexer model is not defined.","İndeksleyici modeli belirlenmedi."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","İndeksleyici modeli Mage_Index_Model_Indexer_Abstract modelini extend etmeli."
"Manual Update","Elle Güncelleme"
"Mode","Kip"
"Never","Asla"
"No","Hayır"
"One or more of the Indexes are not up to date:","Bir veya daha fazla indeks güncel değil:"
"Please select Index(es)","Lütfen İndeks(leri) seçiniz"
"Please select Indexes","Lütfen indeksleri seçiniz"
"Process Information","İşlem Bilgisi"
"Processing","İşleniyor"
"Ready","Hazır"
"Refresh","Yenile"
"Reindex Data","Veriyi Yeniden İndeksle"
"Reindex Required","Yeniden İndeksleme Gerekiyor"
"Revoke","İptal et"
"Status","Durum"
"System","Sistem"
"The index has been saved.","İndeks kaydedildi."
"There was a problem with reindexing process.","Yeniden indeksleme işleminde bir hata meydana geldi."
"There was a problem with saving process.","İşlem kaydedilirken bir hata meydana geldi."
"Total of %d index(es) have changed index mode.","Toplam %d indeksin, indeks tipini değiştirildi."
"Total of %d index(es) have reindexed data.","Toplam %d indeks verisi yeniden oluşturuldu."
"Update Required","Güncelleme Gerekiyor"
"Update on Save","Kaydedildiğinde Güncelle"
"Updated At","Güncelleme Tarihi"
"Yes","Evet"
