"3D Secure","3D Güvenlik Çemberi"
"3D Secure Card Validation","3D Güvenlik Çemberi Kredi Kartı Doğrulama"
"API Login ID","API Giriş No"
"Accepted Currency","Kabul Edilen Para Birimi"
"Allow Partial Authorization","Kısmi Provizyona İzin Ver"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Bu ödemeyi iptal etmek istediğinizden emin misiniz? Tamam a tıklayıp ödemeyi iptal edebilir ve oluşan tutarı askıya alabilirsiniz. İptal e tıklayarak başka bir kredi kartı girip ödemenize devam edebilirsiniz."
"Authorize Only","Sadece Provizyon"
"Authorize and Capture","Provizyon al ve Ödemeyi Al"
"Authorize.Net Transaction ID %s","Authorize.Net İşlem No %s"
"Authorize.net","Authorize.net"
"Cancel","İptal"
"Centinel API URL","Centinel Api URL"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama"
"Credit Card: xxxx-%s","Kredi Kartı: xxxx-%s"
"Debug","Hata Ayıklama"
"Email Customer","Müşteriye E-posta Gönder"
"Enabled","Aktif edildi"
"Error in payment gateway.","Tahsilat sisteminde bir hata meydana geldi."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Geçit işlemleri kilitlendi, çünkü geçit üzerinden yapılan bir veya daha fazla işlemde bir hata meydana geldi. Bu sorunları çözmek için Authorize.Net hesabınıza giriş yapınız."
"Gateway error: %s","Tahsilat servis hatası: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Eğer boş bırakırsanız, varsayılan değer kullanılır. CardinalCommerce sözleşmesinde alternatif bir URL bulabilirsiniz."
"Invalid amount for authorization.","Geçersiz provizyon tutarı."
"Invalid amount for capture.","Çekilecek toplam değeri hatalı."
"Invalid amount for partial authorization.","Kısmi provizyon için hatalı tutar."
"Invalid amount for refund.","İade için hatalı tutar."
"Invalid split tenderId ID.","Hatalı bölünmüş tenderId No."
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant's Email","Üye İşyeri E-posta Adresi"
"Minimum Order Total","En düşük Sipariş Toplamı"
"New Order Status","Yeni Sipariş Durumu"
"Parent Authorize.Net transaction (ID %s) expired","Üst Authorize.Net işlem (No %s) zaman aşımına uğradı."
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme provizyon hatası."
"Payment canceling error.","Ödeme iptal hatası."
"Payment capturing error.","Tahsilat yapılırken bir hata meydana geldi."
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Payment partial authorization error.","Ödeme kısmi provizyon hatası."
"Payment refunding error.","Ödeme iade hatası."
"Payment updating error.","Ödeme güncelleme hatası."
"Payment voiding error.","Ödeme iptal hatası."
"Processed Amount","İşlenen Tutar"
"Remaining Balance","Kalan Bakiye"
"Severe 3D Secure Card Validation","Nihai 3D Secure Kart Doğrulaması"
"Severe Validation Removes Chargeback Liability on Merchant","Son doğrulama satıcının iade zorunluluğunu ortadan kaldırır."
"Shopping cart contents and/or address has been changed.","Alışveriş Sepet içeriği veya adres bilgisi değişti."
"Sort Order","Sıralama"
"Test Mode","Test Kipi"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Kredi kartınızın limiti bu alışveriş için yeterli değil. Kredi kartınızdaki mevcut bakiye askıya alındı. Siparişinizi tamamlamak için Tamam'a basarak başka bir kart daha veriniz. Eğer kartınızdan askıya alınan rakamı iade almak ve siparişi iptal etmek için İptal tuşuna basınız."
"There was an error canceling transactions. Please contact us or try again later.","İşlemlerin iptalinde bir hata meydana geldi. Lütfen site yönetimi ile irtibata geçiniz veya daha sonra tekrar deneyiniz."
"Title","Başlık"
"Transaction Key","İşlem Anahtarı"
"You have reached the maximum number of credit card allowed to be used for the payment.","Ödemede kullanılabilecek izin verilen en fazla kredi kartı adedi limitine ulaştınız."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Bir ödemede kullanılabilecek izin verilen en fazla kredi kartı adedi limitine ulaştınız. Girdiğiniz kartların tamamının mevcut limiti ( veya bakiyesi ) bu ödemeyi tamamlamak için yetersiz. Ödeme işlemi iptal edildi ve askıya alınan tüm miktar kart(lar)ınıza iade edildi."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Kredi kartınız rededildi. Tamam tuşuna basarak başka bir kredi kartı girip alışverişi tamamlayabilirsiniz. Bekleyen tüm tutarı iade almak ve başka bir ödeme yöntemi seçmek için İptal tuşuna basınız."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Siparişiniz oluşturulamadı. Çünkü alışveriş sepeti ve/veya adres değişti. Önceki ödemenizin onaylanan tutarları tamamlanmak için bekliyor. Lütfen mevcut sepet içeriği ile alışverişinizi tamamlayınız."
"Your payment has been cancelled. All authorized amounts have been released.","Ödemeniz iptal edildi. Tüm onaylanmış tutarlar serbest bırakıldı."
"amount %s","tutar %s"
"authorize","Yetkilendir"
"authorize and capture","Provizyon al ve Ödemeyi Al"
"capture","tahsil et"
"failed","tamamlanamadı"
"refund","İade"
"successful","başarılı"
"void","İptal edildi"
