"ALL","Tümü"
"ANY","Herhangi biri"
"Add","Ekle"
"Apply","Uygula"
"Conditions Combination","Koşullar listesi"
"Customer Groups must be specified.","Müşteri Grupları belirlenmeli."
"End Date must be greater than Start Date.","Bitiş Tarihi, Başlangıç Tarihinden sonra olmalıdır."
"FALSE","YANLIŞ"
"If %s of these conditions are %s:","Eğer %s koşullardan biri %s ise:"
"Invalid discount amount.","Hatalı indirim tutarı."
"Open Chooser","Seçimi Aç"
"Perform following actions","Aşağıdaki işlemleri yap"
"Please choose a condition to add...","Eklenecek koşulu seçiniz..."
"Please choose an action to add...","Eklenecek işlemi seçiniz..."
"Remove","Sil"
"TRUE","DOĞRU"
"There is no information about associated entity type ""%s"".","""%s"" ilişkilendirilmiş varlık tipi hakkında herhangi bir bilgi bulunmamaktadır."
"Websites must be specified.","Websitelerini tanımlamalısınız."
"by","tarafından"
"contains","içerir"
"does not contain","içermez"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","daha büyük"
"is","is"
"is not"," (değildir) "
"is not one of","bunlardan biri değil"
"is one of","bunlardan biri"
"less than","daha küçük"
"to","Bit"
