"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Tüm Kredi Kartları / Visa, Mastercard, AMEX, JCB, Diners (MoneyBookers tarafından sağlanmaktadır) - Uluslararası"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (MoneyBookers tarafından sağlanmaktadır) - İtalya"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (MoneyBookers tarafından sağlanmaktadır) - Fransa"
"Customer ID","Müşteri No"
"Dankort (powered by Moneybookers) - Denmark","Dankort (MoneyBookers tarafından sağlanmaktadır) - Danimarka"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Çevrimiçi-Überweisung (MoneyBookers tarafından sağlanmaktadır) - Avusturya"
"Enabled","Aktif edildi"
"Find out more about Online Bank Transfer","Çevrimiçi Havale/EFT hakkında daha fazla bilgi için"
"Giropay (powered by Moneybookers) - Germany","Giropay (MoneyBookers tarafından sağlanmaktadır) - Almanya"
"Laser (powered by Moneybookers) - Ireland","Laser (MoneyBookers tarafından sağlanmaktadır) - İrlanda"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (MoneyBookers tarafından sağlanmaktadır) - Almanya"
"Loading secure payment page (SSL)","Güvenli Ödeme Sayfası Yükleniyor (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (Moneybookers hizmetidir) - İngiltere, Avusturya, İspanya"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers Ayarları"
"Moneybookers Transaction ID: %s","Moneybookers İşlem No: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Moneybookers hakkında daha fazla bilgi"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (MoneyBookers tarafından sağlanmaktadır) - Finlandiya"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (MoneyBookers tarafından sağlanmaktadır) - İsveç"
"Online Bank Transfer (powered by Moneybookers)","Çevrimiçi Havale/EFT (Moneybookers hizmetidir)"
"Order ID","Sipariş No"
"POLi (powered by Moneybookers) - Australia","POLi (MoneyBookers tarafından sağlanmaktadır) - Avusturalya"
"Payment failed.","Ödeme başarısız."
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Payment has not been processed yet.","Tahsilat işlemi henüz yapılmadı."
"Payment was canceled.","Ödeme iptal edildi."
"Pending bank transfer created.","Beklenen Banka havalesi kaydı oluşturuldu."
"Please pay your order now","Lütfen siparişi şimdi ödeyiniz"
"Postepay (powered by Moneybookers) - Italy","Postepay (MoneyBookers tarafından sağlanmaktadır) - İtalya"
"Powered by Moneybookers","Moneybookers hizmetidir"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (MoneyBookers tarafından sağlanmaktadır) - Polonya"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (MoneyBookers tarafından sağlanmaktadır) - Almanya"
"Sort Order","Sıralama"
"The amount has been authorized and captured by Moneybookers.","Sipariş tutarı Moneybookers tarafından tahsil edildi."
"The customer was redirected to Moneybookers.","Müşteri MoneyBookers'a yönlendirildi."
"The order has been canceled.","Sipariş iptal edildi."
"Title","Başlık"
"You will be redirected to our secure payment page when you place an order.","Siparişi tamamladığınızda Tahsilatın yapılabilmesi için Güvenli Ödeme Sayfamıza yönlendirileceksiniz."
"eNETS (powered by Moneybookers) - Singapore","eNETS (MoneyBookers tarafından sağlanmaktadır) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (MoneyBookers tarafından sağlanmaktadır) - Hollanda"
